Publisher,Author,Summary,Published Date,ISBN-10,ISBN-13,Book Title,Price,Binding,Pages,Product Dimensions
Singapore Buddhist Meditation Centre,K Sri Dhammananda Thera,"This book, 'What Buddhists Believe' answers many questions which are asked about Buddhism by Buddhists and non-Buddhists alike. This is already a classic in that it has been proved to be extremely popular not only with practicing Buddhists who are born into the religion, but also those who are really interested in knowing what the Buddha taught.This book has 17 chapters in the following six parts of this book: Life and Message of the Buddha, Buddhism: Essence and Comparative Approaches, Leading a Buddhist Life, Human Life in Society, a Religion for Real Human Progress, and This World and Other Worlds. The aim of this book is to introduce the original teaching clearly and without recourse to exaggeration, cultural implications or disparaging of particular schools of Buddhism, so that the reader can understand the Buddha Dhamma in its modern context.This book is written in clear and precise language which will appeal not only to the casual reader but also to the intellectual student of the Dhamma. Directed mainly to an average person, this book adopts a non-textual approach to explain the Buddhist viewpoint on a wide range of doctrinal and contemporary topics, including those not normally touched upon by traditional Buddhist writers.",2006,9810411774,-,What Buddhists Believe ,Rs. 550.00,Hardcover,380,-
Harper Collins,Alistair Maclean,"From the acclaimed master of action and suspense. The all time classic Millions of pounds in gold bullion are being pirated in the Irish Sea. Investigations by the British Secret Service, and a sixth sense, have bought Philip Calvert to a bleak, lonely bay in the Western Highlands. But the sleepy atmosphere of Torbay is deceptive. The place is the focal point of many mysterious disappearances. Even the unimaginative Highland Police Sergeant seems to be acting a part. But why? This story is Alistair MacLean at his enthralling best. It has all the edge-of-the-seat suspense, and dry humour that millions of readers have devoured for years.",2008,7252943,9780007252947,When Eight Bells Toll,"Rs. 1,475.00",Paperback,384,-
Gollancz,Ben Aaronovitch,A gripping new outing for PC Grant in the SUNDAY TIMES-bestselling series from Ben Aaronovitch.,15 March 2012,575097647,9780575097643,Whispers Under Ground ,"Rs. 2,570.00",Hardcover,384,-
-,-,,-,-,-,White House Diary (Hardcover),"Rs. 4,400.00",-,-,-
-,-,,-,-,-,Who Stole My Cheese?!!: An A-Mazing Way To Make More Money From,"Rs. 1,700.00",-,-,-
-,-,,-,-,-,Who Took All The Paperclips?: Fun Things To Do With Office Suppl,"Rs. 1,830.00",-,-,-
Harper collins,Agatha Christie,"Agatha Christie is the bestselling author of all time. She has sold over two billion books worldwide and has been translated into over 45 languages. In a writing career that spanned more than half a century, Agatha Christie wrote eighty novels and short story collections. She also wrote over a dozen plays, including The Mousetrap, which is now the longest running play in theatrical history. Christie's first novel, The Mysterious Affair at Styles, was the first to feature her eccentric Belgian detective Hercule Poirot. One of the most famous fictional creations of all time, Poirot's 'little grey cells' triumphed over some of the most devious criminal minds ever created in crime fiction. Christie’s last published novel, Sleeping Murder, featured her other world-famous sleuth, the shrewdly inquisitive Miss Jane Marple of St. Mary Mead. Miss Marple appears in twelve novels, and twenty short stories: the first novel to feature her was The Murder at the Vicarage in 1930. The Poirot and Marp",2009,7299788,9780007299782,Why Didnt They Ask Evans? ,"Rs. 1,180.00",Paperback,-,-
Rama Brothers,Chaucer,,2004,8175812222,9788175812222,Wife of Baths Prologue and Tale,Rs. 230.00,Paperback,-,-
Scribner Book Company,David Quammen,"A two-time winner of the ""National Magazine"" Award takes readers from the central Amazon to the streets of New York to explore scientific facts, ideas, and wonders. In ""Wild Thoughts from Wild Places,"" award-winning journalist David Quammen reminds us why he has become one of our most beloved science and nature writers. This collection of twenty-three of Quammen's most intriguing, most exciting, most memorable pieces takes us to meet kayakers on the Futaleufu River of southern Chile, where Quammen describes how it feels to travel in fast company and flail for survival in the river's maw. We are introduced to the commerce in pearls (and black-market parrots) in the Aru Islands of eastern Indonesia. Quammen even finds wildness in smog-choked Los Angeles -- embodied in an elusive population of urban coyotes, too stubborn and too clever to surrender to the sprawl of civilization. With humor and intelligence, David Quammen's ""Wild Thoughts from Wild Places"" also reminds us that humans are just one of the many species on earth with motivations, goals, quirks, and eccentricities. Expect to be entertained and moved on this journey through the wilds of science and nature.",Mar 1999,068485208X,9780684852089,Wild Thoughts from Wild Places,"Rs. 3,125.00",Paperback,304,8.36 x 5.56 x 0.81 inches
Harper Collins India,Janhavi Acharekar,"These charming portraits of young girls living far from home, 'secure' in their illicit relationships, of young men full of RSS swagger, of old women waiting late in the night for their grown-up children to come home, capture the lives of ordinary people in vivid and varied hues. Spread across the socio-economic spectrum, these stories are like snapshots of interesting faces in a crowd: faces around whom the author deftly sketches lives and longings, pet ideas and prejudices, loves and hates with bold, confident strokes. From 'Ganesha', the story of a middle-class housewife waiting for her son to return at night and thinking of her other son who died in a road accident, to 'A Game of Cards' about a young urban woman sunning herself on the beach, these pithy sketches are a colourful montage of modern Indian life.",2009,8172238002,9788172238001,Window Seat,"Rs. 1,475.00",Paperback,256,-
Motilal Banarsidass,David Frawley,"This book is the first translation of The Rig Veda, which is not only one of the oldest sacred scriptures of the world but also one of the most misunderstood and it is fountainhead of the spiritual traditional of India and the oldest text in any Indo-European language. And also it is a compendium of wisdom, poetry, mythology, riddles and above all Yogic and meditation insights which are relevant for all who wish to understand the deeper spiritual impulses behind human civilization. The author has included the explanatory chapters on the main line of Vedic hymns, which begin with hymns to Agni, India, the Sun Gods and the ninth mandala, for Soma. This book consists of seven chapters.",1992,8120811593,-,Wisdom Of The Ancient Seers - Mantras Of The Rig Veda ,Rs. 550.00,Hardcover,275,-
Hay House India,Wayne Dyer,"This book is dedicated to your mastery of the art of realizing all your desires. The greatest gift you have been given is the gift of your imagination. Everything that now exists was once imagined. And everything that will ever exist must first be imagined. Wishes Fulfilled is designed to take you on a voyage of discovery, wherein you can begin to tap into the amazing manifesting powers that you possess within you and create a life in which all that you imagine for yourself becomes a present fact.Dr. Wayne W. Dyer explores, for the first time, the region of your highest self: and definitively shows you how you can truly change your concept of yourself, embark upon a God-realized way of living, and fulfill the spiritual truth that with God all things are possible-and ""all things"" means that nothing is left out.",2012,9381431276,9789381431276,Wishes Fulfilled: Mastering The Art Of Manifesting,"Rs. 1,350.00",Paperback,224,-
Harper Collins,Khushwant Singh,,1995,8172236514,9788172236519,WOMEN AND MEN IN MY LIFE PB,"Rs. 1,160.00",Paperback,254,-
Kpi,Francesca Target,,2005,8175542834,9788175542834,Working in English Language Teaching,Rs. 645.00,Paperback,-,-
-,-,,-,-,-,World Cafe Playlist Book (Paperback),"Rs. 1,760.00",-,-,-
Harper Voyager,Raymond E. Feist,The final book in The Darkwar series from the world-wide best-selling author of Magician. Wrath of a Mad God witnesses the cataclysmic end to one of Feist's best-loved worlds.,Feb 2009,7244312,9780007244317,Wrath of a Mad God ,Rs. 900.00,Paperback,400,17.4 x 11.2 x 3.6 cm
Sage Publications Ltd,Gail Craswell,"Crammed full of practical advice for any student undertaking postgraduate study, Gail Craswell's Writing for Academic Success provides a comprehensive coverage of academic writing skills and communication techniques.",20 October 2004,1412903017,9781412903011,Writing For Academic Success: A Postgraduate Guide ,"Rs. 5,095.00",Paperback,288,9.54 x 6.7 x 0.65 inches
-,-,,-,-,-,Writing's On The Wall,"Rs. 1,100.00",-,-,-
-,-,,-,-,-,Written in Blood: A History of Forensic Detection (Paperback),"Rs. 2,180.00",-,-,-
Harper Collins,Len Deighton,"June 11, 1940 -- where is Winston Churchill?",1996,586054472,9780586054475,XPD,"Rs. 1,765.00",Paperback,464,6.97 x 4.45 x 1.18 inches
Scholastic,-,"Book Summary of Year Book 2012Timelines, essays, lists, fact files and a round-up of this year’s events make this book an invaluable mine of information for quizzes, projects, competitive exams or just knowledge about the world!This smashing edition brings you:→ Major events in the World and India→ Popular awards→ Sports highlight→ Environment News→ Top ten list of the biggest, highest, strongest→ Development in Science and Space→ News and views from the world of entertainment →And much more...Some of the well-known contributors:→ Journalist N. Singh on major events, people in the news and awards→ Sports journalist Anand Ramachandran with sports news and highlights→ Senior economics journalist Vivek Sinha on the Indian economy→ Lawyers Daniel David and Renuka Medury→ Fashion writer Shigorika Singh with a trend report of what’s hot and what’s not in India and the world→ And much more…...",2011,8184778236,9788184778236,Year Book 2012 ,Rs. 980.00,Paperback,264,5.5 x 8.5 Inches
Future,Astha Suneja,,2012,9381688175,9789381688175,Yes..I Flaunt My Diamond,Rs. 870.00,Paperback,-,-
Buddhist Missionary Society,K Sri Dhammananda Thera,"The purpose of this book is examining the most common problems which beset us today as parents, children, husbands wives in daily lives. The book has organized under a variety of subheadings to cover a wide range of subjects. They have been loosely assembled together into five separate sections, problems- their nature and cause, the role of religion, the self and family, man and society and the correct attitude. This book is being read world wide because it is written in simple language and is directly focused on the challenges presented by modern civilization. This book concludes with a list of books by the same author.",2004,9834007124,-,You And Your Problems ,Rs. 380.00,-,232,-
Harper Collins,"John Roger , Peter Mc Williams","New price, new look and new format for this bestselling pop psychology classic.",2007-11-15,7272871,9780007272877,You Can't Afford the Luxury of A Negative Thought ,"Rs. 1,100.00",Paperback,336,-
Running Press,Richard Schickel and George Perry,,2008-10-02,076243418X,978-0762434183,You Must Remember This: The Warner Bros. Story (Hardcover),"Rs. 6,270.00",Hardcover,480,29.5 x 25.1 x 4.1 cm
Thorsons Publishers,"Michael F. Roizen, Mehmet C. Oz","Drs Michael F. Roizen and Mehmet C. Oz, authors of the million-copy bestseller 'YOU: The Owner's Manual', have devised a diet that is so effective you'll notice changes in your body immediately. Starting with a Two-Week Reboot that will help you lose up to two inches around your waist, you will shed your unwanted pounds forever.",2007,7241844,9780007241842,You on a Diet: The Insider's Guide to Easy and Permanent Weight Loss,"Rs. 2,700.00",Paperback,384,-
Harper Collins,Bernadette Tynan,"Written with the busy parent in mind, this practical and easy-touse book explodes the myths about genius and is packed full of fun activities for you and your child-from puzzles and riddles to number and code-cracking games. About Author : Bernadette Tynan is founder and president of Beautiful Minds, a charity dedicated to funding research into the best ways to develop the natural gifts in all children. An expert in gifted children and a former Senior Lecturer at the Research Centre for Able Children in Oxford, her books are grounded in her practical experience of working with children, parents and schools worldwide.Contents :IntroductionGenius-Exploding the MythsDiscovering Your Childs GiftsHow to Think like a GeniousHow to learn like a GeniusWhere can I get information on ..?Index      ",2005,8172235917,9788172235918,Your Child Can Think Like A Genius ,"Rs. 1,950.00",Paperback,218,-
Harper Collins UK,Dean Koontz,"At 34, Ryan Perry never expected to find himself on a waiting list for a heart transplant, with time running out. So when miraculously he receives a new heart and the transplant is a success, he thinks his troubles are over. A year later, he has never feltso good. But then he starts to get mysterious gifts from an unknown person. He has the feeling he is being watched. $100,000 suddenly vanishes from his bank account, donated to the cardiology department of the local hospital. And then comes a terrifying threat: everything he has – his money, his reputation, his friends, his freedom, and his new heart – will all be ripped away from him. He is promised a nightmare death. In grave danger, alone with his beating heart and its secrets, can Ryan unlock the mystery of the enemy who threatens his very existence? Prepare for the unexpected in this compelling and fast-paced thriller from the master of suspense.",2009,7321724,9780007321728,Your Heart Belongs To Me ,"Rs. 1,475.00",Paperback,352,-
